"anzahl","vorname","geschlecht","position"
2,"Milena","w",1
2,"Naila","w",1
2,"Nala","w",1
2,"Nela","w",1
2,"Noa","w",1
2,"Norah","w",1
2,"Philippa","w",1
2,"Rey","w",1
2,"Rosalie","w",1
2,"Salma","w",1
2,"Sarah","w",1
2,"Sena","w",1
2,"Solin","w",1
2,"Tea","w",1
2,"Tessa","w",1
2,"Yara","w",1
2,"Yasmin","w",1
2,"Yousra","w",1
2,"Zoé","w",1
2,"Zuri","w",1
2,"Ajan","m",1
2,"Alen","m",1
2,"Aram","m",1
2,"Arian","m",1
2,"Armin","m",1
2,"Aurel","m",1
2,"Ayaz","m",1
2,"Bela","m",1
2,"Chris","m",1
2,"Christiano","m",1
2,"Clemens","m",1
2,"Colin","m",1
2,"Damian","m",1
2,"Dominik","m",1
2,"Ediz","m",1
2,"Eduard","m",1
2,"Elijah","m",1
2,"Elio","m",1
2,"Emin","m",1
2,"Fabian","m",1
2,"Fridolin","m",1
2,"Friedrich","m",1
2,"Hasan","m",1
2,"Hugo","m",1
2,"Idris","m",1
2,"Ilian","m",1
2,"Ilija","m",1
2,"Ishaq","m",1
2,"Ismail","m",1
2,"Issa","m",1
2,"Issam","m",1
2,"Jacob","m",1
2,"Jad","m",1
2,"Jamie","m",1
2,"Jannes","m",1
2,"Jannik","m",1
2,"Jannis","m",1
2,"Jasper","m",1
2,"Johannes","m",1
2,"Josha","m",1
2,"Julien","m",1
2,"Kani","m",1
2,"Kerem","m",1
2,"Kjell","m",1
2,"Kroi","m",1
2,"Leander","m",1
2,"Leano","m",1
2,"Lenn","m",1
2,"Lennart","m",1
2,"Lennet","m",1
2,"Lenni","m",1
2,"Lionel","m",1
2,"Mads","m",1
2,"Magnus","m",1
2,"Martin","m",1
2,"Matheo","m",1
2,"Mattis","m",1
2,"Metehan","m",1
2,"Mick","m",1
2,"Mikail","m",1
2,"Mio","m",1
2,"Mo","m",1
2,"Mohamed","m",1
2,"Mouhamed","m",1
2,"Muhammad","m",1
2,"Nael","m",1
2,"Nelio","m",1
2,"Nima","m",1
2,"Nino","m",1
2,"Omar","m",1
2,"Oscar","m",1
2,"Otis","m",1
2,"Peter","m",1
2,"Piet","m",1
2,"Renas","m",1
2,"Rune","m",1
2,"Said","m",1
2,"Sam","m",1
2,"Samu","m",1
2,"Sebastian","m",1
2,"Seyed","m",1
2,"Tamino","m",1
2,"Tarik","m",1
2,"Ties","m",1
2,"Timo","m",1
2,"Tino","m",1
2,"Victor","m",1
2,"Vitus","m",1
2,"Wisdom","m",1
2,"Yousef","m",1
2,"Alba","w",2
2,"Alina","w",2
2,"Amaya","w",2
2,"Antonia","w",2
2,"April","w",2
2,"Carlotta","w",2
2,"Caroline","w",2
2,"Christina","w",2
2,"Elin","w",2
2,"Fatima","w",2
2,"Freya","w",2
2,"Hannah","w",2
2,"Jasmin","w",2
2,"Jolie","w",2
2,"Josephine","w",2
2,"Karlotta","w",2
2,"Karoline","w",2
2,"Laura","w",2
2,"Lea","w",2
2,"Leana","w",2
2,"Lena","w",2
2,"Leni","w",2
2,"Leonie","w",2
2,"Luana","w",2
2,"Malia","w",2
2,"Malou","w",2
2,"Marieke","w",2
2,"Marleen","w",2
2,"Mathea","w",2
2,"Mathilde","w",2
2,"Maya","w",2
2,"Mila","w",2
2,"Paulina","w",2
2,"Pauline","w",2
2,"Rim","w",2
2,"Rosa","w",2
2,"Ruby","w",2
2,"Ruth","w",2
2,"Sarah","w",2
2,"Sofia","w",2
2,"Sultanovna","w",2
2,"Thea","w",2
2,"Viktoria","w",2
2,"Viola","w",2
2,"Abbas","m",2
2,"Aiden","m",2
2,"Albert","m",2
2,"Andre","m",2
2,"Andrei","m",2
2,"Andrew","m",2
2,"Antonio","m",2
2,"Bao","m",2
2,"Benedikt","m",2
2,"Carl","m",2
2,"Chen","m",2
2,"Dean","m",2
2,"Dirk","m",2
2,"Eddin","m",2
2,"Emilian","m",2
2,"Emilio","m",2
2,"Enes","m",2
2,"Erich","m",2
2,"Frederik","m",2
2,"Fritz","m",2
2,"Harald","m",2
2,"Heinrich","m",2
2,"Jasper","m",2
2,"Jochen","m",2
2,"Joél","m",2
2,"Kasimir","m",2
2,"Konstantin","m",2
2,"Leo","m",2
2,"Leonard","m",2
2,"Leonas","m",2
2,"Leopold","m",2
2,"Linus","m",2
2,"Lothar","m",2
2,"Lucas","m",2
2,"Ludwig","m",2
2,"Magnus","m",2
2,"Manfred","m",2
2,"Marcel","m",2
2,"Mats","m",2
2,"Matthias","m",2
2,"Max","m",2
2,"Mika","m",2
2,"Noel","m",2
2,"Oskar","m",2
2,"Otto","m",2
2,"Parker","m",2
2,"Philipp","m",2
2,"Raphael","m",2
2,"Rayan","m",2
2,"Richard","m",2
2,"Sam","m",2
2,"Samuel","m",2
2,"Stefan","m",2
2,"Tom","m",2
2,"Wolfgang","m",2
2,"Zayn","m",2
2,"Elisabeth","w",3
2,"Emilie","w",3
2,"Johanna","w",3
2,"Luise","w",3
2,"Marie","w",3
2,"Pauline","w",3
2,"Sophie","w",3
2,"Yamahtessa","w",3
2,"Alexander","m",3
2,"Emil","m",3
2,"Felix","m",3
2,"Friedrich","m",3
2,"Leo","m",3
2,"Michael","m",3
2,"Nicolas","m",3
2,"Werner","m",3
2,"Wilhelm","m",3
1,"Aaila","w",1
1,"Aalia","w",1
1,"Aaliyah","w",1
1,"Aaradhya","w",1
1,"Aarvi","w",1
1,"Aarvina","w",1
1,"Adela","w",1
1,"Adelina","w",1
1,"Adiva","w",1
1,"Agamagizhdhini","w",1
1,"Agatha","w",1
1,"Agna","w",1
1,"Agnes","w",1
1,"Ahsen","w",1
1,"Aida","w",1
1,"Aiza","w",1
1,"Ajlin","w",1
1,"Alena","w",1
1,"Alexis","w",1
1,"Aliana-Finnia","w",1
1,"Alice","w",1
1,"Alix","w",1
1,"Aliyah-Mira","w",1
1,"Allegra","w",1
1,"Alwina","w",1
1,"Alycia-Thea","w",1
1,"Amalija","w",1
1,"Amanda","w",1
1,"Amaris","w",1
1,"Amaya","w",1
1,"Amna","w",1
1,"Amra","w",1
1,"Amélie","w",1
1,"Ana","w",1
1,"Anaika","w",1
1,"Anais","w",1
1,"Anastazja","w",1
1,"Andia","w",1
1,"Aneliya","w",1
1,"Angel","w",1
1,"Angelina","w",1
1,"Angle","w",1
1,"Anica","w",1
1,"Anika","w",1
1,"Annamaria","w",1
1,"Anne","w",1
1,"Annemarie","w",1
1,"Anni","w",1
1,"Annika","w",1
1,"Anny","w",1
1,"April","w",1
1,"Arabella","w",1
1,"Arijana","w",1
1,"Arsema","w",1
1,"Arwa","w",1
1,"Arya","w",1
1,"Aseel","w",1
1,"Asel","w",1
1,"Asena","w",1
1,"Ashley-Savannah","w",1
1,"Asia","w",1
1,"Asil","w",1
1,"Asra","w",1
1,"Assiya","w",1
1,"Asya","w",1
1,"Ata","w",1
1,"Athina","w",1
1,"Athéna","w",1
1,"Aurora-Maria","w",1
1,"Aurora","w",1
1,"Avielle","w",1
1,"Avni","w",1
1,"Ayah","w",1
1,"Ayda","w",1
1,"Ayla","w",1
1,"Aylin","w",1
1,"Ayra","w",1
1,"Aysun","w",1
1,"Ayzel","w",1
1,"Ayşe","w",1
1,"Azize","w",1
1,"Baria","w",1
1,"Bea","w",1
1,"Beatriz","w",1
1,"Belen","w",1
1,"Bella","w",1
1,"Berin","w",1
1,"Berya","w",1
1,"Betül","w",1
1,"Bhgte","w",1
1,"Bilsan","w",1
1,"Blean","w",1
1,"Bora","w",1
1,"Caja","w",1
1,"Canan","w",1
1,"Carolin","w",1
1,"Carolina","w",1
1,"Catalina","w",1
1,"Celia","w",1
1,"Celin","w",1
1,"Celya","w",1
1,"Chams","w",1
1,"Chana","w",1
1,"Charly","w",1
1,"Chayenne","w",1
1,"Chidera","w",1
1,"Chloe","w",1
1,"Chloé","w",1
1,"Christabel","w",1
1,"Christiana","w",1
1,"Christina","w",1
1,"Claire","w",1
1,"Clarissa","w",1
1,"Clea","w",1
1,"Constanze","w",1
1,"Cornelia","w",1
1,"Cäcilia","w",1
1,"Céline","w",1
1,"Dalina","w",1
1,"Daniela","w",1
1,"Danijela","w",1
1,"Darina","w",1
1,"Dayana","w",1
1,"Dela","w",1
1,"Delsa","w",1
1,"Demi-Eline","w",1
1,"Diana","w",1
1,"Dijana","w",1
1,"Dijara","w",1
1,"Dilan","w",1
1,"Dilara","w",1
1,"Dilay","w",1
1,"Dilyana","w",1
1,"Dinna","w",1
1,"Diylan","w",1
1,"Duope","w",1
1,"Dyazambi","w",1
1,"Dylana","w",1
1,"Dünya","w",1
1,"Džejla","w",1
1,"Edanur","w",1
1,"Edelawit","w",1
1,"Ekatarina","w",1
1,"Ela","w",1
1,"Elaf","w",1
1,"Elaine","w",1
1,"Elea","w",1
1,"Eleanor","w",1
1,"Eleonora","w",1
1,"Eleonore","w",1
1,"Eleyna","w",1
1,"Elia","w",1
1,"Eliaa","w",1
1,"Eliana","w",1
1,"Elida","w",1
1,"Elikya","w",1
1,"Eline","w",1
1,"Elise","w",1
1,"Eliska","w",1
1,"Elissa","w",1
1,"Eliz","w",1
1,"Eliza","w",1
1,"Ellen","w",1
1,"Ellena","w",1
1,"Elodie","w",1
1,"Elyssia","w",1
1,"Eléana","w",1
1,"Emma-Sophie","w",1
1,"Emmi","w",1
1,"Ena","w",1
1,"Enna","w",1
1,"Enya","w",1
1,"Erin","w",1
1,"Erva","w",1
1,"Eshal","w",1
1,"Eslina","w",1
1,"Esra","w",1
1,"Esraa","w",1
1,"Estelle","w",1
1,"Esther","w",1
1,"Esti","w",1
1,"Estir","w",1
1,"Eva-Maria","w",1
1,"Eyra","w",1
1,"Fairuz","w",1
1,"Farah","w",1
1,"Fatima","w",1
1,"Fatoumata","w",1
1,"Feelija","w",1
1,"Felicia","w",1
1,"Felida","w",1
1,"Feride","w",1
1,"Feryal","w",1
1,"Filippa","w",1
1,"Fine","w",1
1,"Finia","w",1
1,"Finya","w",1
1,"Fleur","w",1
1,"Florentina","w",1
1,"Frea","w",1
1,"Friederike","w",1
1,"Féline","w",1
1,"Gamze","w",1
1,"Georgia","w",1
1,"Gianna","w",1
1,"Gizem","w",1
1,"Grace","w",1
1,"Gwen","w",1
1,"Güneş","w",1
1,"Hadi","w",1
1,"Hadiya","w",1
1,"Hailey","w",1
1,"Haley","w",1
1,"Hanis","w",1
1,"Hanne","w",1
1,"Harea","w",1
1,"Hatice","w",1
1,"Haya","w",1
1,"Hedda","w",1
1,"Hedi","w",1
1,"Hediye","w",1
1,"Henni","w",1
1,"Henrike","w",1
1,"Hermine","w",1
1,"Hevi","w",1
1,"Hiba","w",1
1,"Hilda","w",1
1,"Hooria","w",1
1,"Hope","w",1
1,"Ida-Marie","w",1
1,"Ileya","w",1
1,"Ina","w",1
1,"Inas","w",1
1,"Inayah","w",1
1,"Inayla","w",1
1,"Inga","w",1
1,"Ingrid","w",1
1,"Iris","w",1
1,"Irya","w",1
1,"Isabel","w",1
1,"Ishal","w",1
1,"Ivana","w",1
1,"Ixchel","w",1
1,"Jamyla","w",1
1,"Jane","w",1
1,"Jannah","w",1
1,"Janne","w",1
1,"Jasmin","w",1
1,"Jemima","w",1
1,"Jette","w",1
1,"Jinhe","w",1
1,"Johanne","w",1
1,"Jolanda","w",1
1,"Joleen","w",1
1,"Jolie","w",1
1,"Jorianna","w",1
1,"Josefiene","w",1
1,"Josephine","w",1
1,"Joséphine","w",1
1,"Jovana","w",1
1,"Joy","w",1
1,"Joyce","w",1
1,"Judith","w",1
1,"Juli","w",1
1,"Juliane","w",1
1,"Julie","w",1
1,"Juliette","w",1
1,"Julina","w",1
1,"Kairi","w",1
1,"Kalea","w",1
1,"Kalyani","w",1
1,"Kamilia","w",1
1,"Kany","w",1
1,"Kardelen","w",1
1,"Kataleya","w",1
1,"Katja","w",1
1,"Katrin","w",1
1,"Kaya","w",1
1,"Kayla","w",1
1,"Keti","w",1
1,"Kevser","w",1
1,"Kiara","w",1
1,"Kim","w",1
1,"Kinga","w",1
1,"Klara-Franziska","w",1
1,"Klára","w",1
1,"Kristina","w",1
1,"Kylie","w",1
1,"Laetitia","w",1
1,"Laia","w",1
1,"Lajla","w",1
1,"Lamiya","w",1
1,"Lamma","w",1
1,"Lana","w",1
1,"Lara-Emily","w",1
1,"Larissa","w",1
1,"Layana","w",1
1,"Layla","w",1
1,"Layna","w",1
1,"Leen","w",1
1,"Leia","w",1
1,"Leila","w",1
1,"Lejla","w",1
1,"Lelas","w",1
1,"Lelia","w",1
1,"Leoni","w",1
1,"Leonore","w",1
1,"Leticia","w",1
1,"Letty","w",1
1,"Levia","w",1
1,"Liara","w",1
1,"Lidya","w",1
1,"Lieke","w",1
1,"Lillian","w",1
1,"Lilliana","w",1
1,"Lillith","w",1
1,"Lilly-Ann","w",1
1,"Lillybelle","w",1
1,"Lilya","w",1
1,"Lina-Marie","w",1
1,"Lingyue","w",1
1,"Lisa-Marie","w",1
1,"Liselotte","w",1
1,"Lisha","w",1
1,"Livia","w",1
1,"Livija","w",1
1,"Liwia","w",1
1,"Liyah","w",1
1,"Liyanur","w",1
1,"Loany","w",1
1,"Loni","w",1
1,"Lorena","w",1
1,"Loresa","w",1
1,"Lotte","w",1
1,"Lotti","w",1
1,"Louise","w",1
1,"Lua","w",1
1,"Luciana","w",1
1,"Luiza","w",1
1,"Lumba","w",1
1,"Luzia","w",1
1,"Lydia","w",1
1,"Léana","w",1
1,"Léonie","w",1
1,"Maddison","w",1
1,"Madita","w",1
1,"Magdalena","w",1
1,"Maia","w",1
1,"Mailin","w",1
1,"Maira","w",1
1,"Majvi","w",1
1,"Makeda","w",1
1,"Malea","w",1
1,"Malena","w",1
1,"Malia","w",1
1,"Malu","w",1
1,"Mamafilany","w",1
1,"Mamakagbe","w",1
1,"Mamaïssata","w",1
1,"Mareike","w",1
1,"Marie-Ann","w",1
1,"Marie-Louise","w",1
1,"Marina","w",1
1,"Marle","w",1
1,"Marlen","w",1
1,"Marlena","w",1
1,"Marta","w",1
1,"Masal","w",1
1,"Mathea","w",1
1,"Mattie","w",1
1,"Mavisu","w",1
1,"Maya-Sofia","w",1
1,"Maylee","w",1
1,"Mayra","w",1
1,"Maysa-Maliya","w",1
1,"Mayvis","w",1
1,"Maëlys","w",1
1,"Medina","w",1
1,"Mehtap","w",1
1,"Meike","w",1
1,"Melat","w",1
1,"Melia","w",1
1,"Melianna","w",1
1,"Melisa","w",1
1,"Meliya","w",1
1,"Mera","w",1
1,"Meral","w",1
1,"Meriem","w",1
1,"Merit","w",1
1,"Merjem","w",1
1,"Meva","w",1
1,"Mia-Lynn","w",1
1,"Mia-Sophie","w",1
1,"Mihra","w",1
1,"Milayne","w",1
1,"Milla","w",1
1,"Mina-Josephine","w",1
1,"Minel","w",1
1,"Minodora","w",1
1,"Miracle","w",1
1,"Mirai","w",1
1,"Miraslava","w",1
1,"Mirna","w",1
1,"Mithila","w",1
1,"Monika","w",1
1,"Muizzah","w",1
1,"Muna","w",1
1,"Munachiso","w",1
1,"Muniish","w",1
1,"My-Lan","w",1
1,"Myriam","w",1
1,"Mùthoni","w",1
1,"Müşerref","w",1
1,"Nadia","w",1
1,"Nadine","w",1
1,"Nadja","w",1
1,"Naira","w",1
1,"Naisha","w",1
1,"Naleya","w",1
1,"Naomi","w",1
1,"Nara","w",1
1,"Nasriin","w",1
1,"Natalia","w",1
1,"Natalie","w",1
1,"Nazdar","w",1
1,"Ndeye","w",1
1,"Neele","w",1
1,"Nelia","w",1
1,"Nellie","w",1
1,"Nena","w",1
1,"Neyla","w",1
1,"Ngamandzi","w",1
1,"Ngọc","w",1
1,"Nia","w",1
1,"Nicole","w",1
1,"Niharika","w",1
1,"Nihira","w",1
1,"Nikola","w",1
1,"Noemi","w",1
1,"Nola","w",1
1,"Noora","w",1
1,"Nouf","w",1
1,"Nova","w",1
1,"Ogochukwu","w",1
1,"Oona","w",1
1,"Ophelia","w",1
1,"Pauline","w",1
1,"Pelda","w",1
1,"Pelin","w",1
1,"Penelope","w",1
1,"Philia","w",1
1,"Pippa","w",1
1,"Polly","w",1
1,"Pougnere","w",1
1,"Prisha","w",1
1,"Purity","w",1
1,"Qingyun","w",1
1,"Radnya","w",1
1,"Rafaela","w",1
1,"Raheema","w",1
1,"Rahel","w",1
1,"Raija","w",1
1,"Rana","w",1
1,"Raquel","w",1
1,"Rayna","w",1
1,"Regina","w",1
1,"Reyyan","w",1
1,"Rhita","w",1
1,"Ria","w",1
1,"Riana","w",1
1,"Rida","w",1
1,"Rieke","w",1
1,"Riem","w",1
1,"Rihana","w",1
1,"Ritaj","w",1
1,"Rosa-Marie","w",1
1,"Rosie","w",1
1,"Roya","w",1
1,"Ruby","w",1
1,"Rumesa","w",1
1,"Rüya","w",1
1,"Sabina","w",1
1,"Safija","w",1
1,"Sahasra","w",1
1,"Sandrina","w",1
1,"Sanna","w",1
1,"Sanya","w",1
1,"Sapna","w",1
1,"Savina","w",1
1,"Selin","w",1
1,"Selina","w",1
1,"Selma","w",1
1,"Shahrazad","w",1
1,"Shams","w",1
1,"Sharvika","w",1
1,"Shawafa","w",1
1,"Sherliza","w",1
1,"Shilan","w",1
1,"Siara","w",1
1,"Sila","w",1
1,"Silja","w",1
1,"Silvana","w",1
1,"Sima","w",1
1,"Sina","w",1
1,"Sirin","w",1
1,"Skadie","w",1
1,"Smilla","w",1
